Nodes,Processes,VectorSize,GlobalMin,Time_s
1,1,1000000,53,0.00112176
1,1,10000000,14,0.0168388
1,1,100000000,0,0.1588
1,2,1000000,53,0.00118441
1,2,10000000,14,0.0165624
1,2,100000000,0,0.14462
1,4,1000000,53,0.00504634
1,4,10000000,14,0.0152307
1,4,100000000,0,0.13588
1,8,1000000,53,0.00539573
1,8,10000000,14,0.0175172
1,8,100000000,0,0.149857
1,16,1000000,53,0.00943144
1,16,10000000,14,0.0413753
1,16,100000000,0,0.165628
2,4,1000000,53,0.0339343
2,4,10000000,14,0.178415
2,4,100000000,0,1.77433
2,8,1000000,53,0.0636465
2,8,10000000,14,0.177968
2,8,100000000,0,1.77153
2,16,1000000,53,0.0602133
2,16,10000000,14,0.182125
2,16,100000000,0,1.77474
2,32,1000000,53,0.108915
2,32,10000000,14,0.197087
2,32,100000000,0,1.79727
4,8,1000000,53,0.0822832
4,8,10000000,14,0.261088
4,8,100000000,0,2.58817
4,16,1000000,53,0.0888182
4,16,10000000,14,0.262649
4,16,100000000,0,2.58847
4,32,1000000,53,0.198823
4,32,10000000,14,0.264696
4,32,100000000,0,2.59023
4,64,1000000,53,0.343134
4,64,10000000,14,0.30777
4,64,100000000,0,2.62785
8,16,1000000,53,0.114379
8,16,10000000,14,0.302881
8,16,100000000,0,2.99571
8,32,1000000,53,0.208382
8,32,10000000,14,0.311786
8,32,100000000,0,2.99587
8,64,1000000,53,0.447209
8,64,10000000,14,0.333374
8,64,100000000,0,3.0033
8,128,1000000,53,0.74529
8,128,10000000,14,0.365961
8,128,100000000,0,3.02274
