Nodes,Processes,VectorSize,ScalarProduct,Time_s
1,1,1000000,3.33212e+09,0.00620608
1,1,10000000,3.33379e+10,0.060614
1,1,100000000,3.33352e+11,0.604407
1,2,1000000,3.33212e+09,0.00615067
1,2,10000000,3.33379e+10,0.0594405
1,2,100000000,3.33352e+11,0.555981
1,4,1000000,3.33212e+09,0.00822389
1,4,10000000,3.33379e+10,0.0589694
1,4,100000000,3.33352e+11,0.605601
1,8,1000000,3.33212e+09,0.00977761
1,8,10000000,3.33379e+10,0.0664166
1,8,100000000,3.33352e+11,0.722809
1,16,1000000,3.33212e+09,0.0170514
1,16,10000000,3.33379e+10,0.182328
1,16,100000000,3.33352e+11,0.706036
2,4,1000000,3.33212e+09,0.0802364
2,4,10000000,3.33379e+10,0.711549
2,4,100000000,3.33352e+11,7.06568
2,8,1000000,3.33212e+09,0.101872
2,8,10000000,3.33379e+10,0.707751
2,8,100000000,3.33352e+11,7.05375
2,16,1000000,3.33212e+09,0.145268
2,16,10000000,3.33379e+10,0.71953
2,16,100000000,3.33352e+11,7.148
2,32,1000000,3.33212e+09,0.154221
2,32,10000000,3.33379e+10,0.797822
2,32,100000000,3.33352e+11,7.17484
4,8,1000000,3.33212e+09,0.153563
4,8,10000000,3.33379e+10,1.02981
4,8,100000000,3.33352e+11,10.3253
4,16,1000000,3.33212e+09,0.213139
4,16,10000000,3.33379e+10,1.04124
4,16,100000000,3.33352e+11,10.3233
4,32,1000000,3.33212e+09,0.260041
4,32,10000000,3.33379e+10,1.05714
4,32,100000000,3.33352e+11,10.3708
4,64,1000000,3.33212e+09,0.365658
4,64,10000000,3.33379e+10,1.08776
4,64,100000000,3.33352e+11,10.3979
8,16,1000000,3.33212e+09,0.251666
8,16,10000000,3.33379e+10,1.19672
8,16,100000000,3.33352e+11,11.956
8,32,1000000,3.33212e+09,0.372552
8,32,10000000,3.33379e+10,1.21029
8,32,100000000,3.33352e+11,11.9785
8,64,1000000,3.33212e+09,0.559486
8,64,10000000,3.33379e+10,1.21215
8,64,100000000,3.33352e+11,11.9825
8,128,1000000,3.33191e+09,0.848535
8,128,10000000,3.33379e+10,1.29042
8,128,100000000,3.33352e+11,12.008
