Nodes,Processes,Bytes,Time_sec,Bandwidth_MBs
1,2,1,3.262030000e-07,2.9236
1,2,2,3.178820000e-07,6.0002
1,2,4,3.067560000e-07,12.4356
1,2,8,3.056395000e-07,24.9621
1,2,16,3.040890000e-07,50.1787
1,2,32,3.454285000e-07,88.3470
1,2,64,3.625995000e-07,168.3266
1,2,128,6.203175000e-07,196.7868
1,2,256,5.372295000e-07,454.4438
1,2,512,5.832320000e-07,837.1990
1,2,1024,7.140370000e-07,1367.6637
1,2,2048,9.425250000e-07,2072.2262
1,2,4096,1.382207000e-06,2826.0962
1,2,8192,2.199090500e-06,3552.6050
1,2,16384,3.882826000e-06,4024.1309
1,2,32768,6.707764000e-06,4658.7805
1,2,65536,1.134217900e-05,5510.4050
1,2,131072,2.177671300e-05,5740.0766
1,2,262144,5.213160550e-05,4795.5554
1,2,524288,1.519481925e-04,3290.5952
1,2,1048576,3.634600005e-04,2751.3344
1,2,2097152,7.103467115e-04,2815.5265
1,2,4194304,1.415300476e-03,2826.2550
2,2,1,1.323906560e-04,0.0072
2,2,2,1.303310745e-04,0.0146
2,2,4,1.288506505e-04,0.0296
2,2,8,1.281159155e-04,0.0596
2,2,16,1.376244225e-04,0.1109
2,2,32,1.317490745e-04,0.2316
2,2,64,1.394606120e-04,0.4377
2,2,128,1.341355290e-04,0.9101
2,2,256,1.446579175e-04,1.6877
2,2,512,1.478394750e-04,3.3028
2,2,1024,1.612322240e-04,6.0569
2,2,2048,1.515267265e-04,12.8896
2,2,4096,1.575582365e-04,24.7924
2,2,8192,2.916990710e-04,26.7827
2,2,16384,3.713699715e-04,42.0739
2,2,32768,4.566592315e-04,68.4318
2,2,65536,7.483009910e-04,83.5225
2,2,131072,1.332273648e-03,93.8246
2,2,262144,2.829064778e-03,88.3684
2,2,524288,5.074730781e-03,98.5274
2,2,1048576,9.531073507e-03,104.9200
2,2,2097152,1.842838778e-02,108.5282
2,2,4194304,3.627750514e-02,110.2612
