Nodes,Processes,MatrixSize,Method,Time_s
1,1,512,Striped,0.107461
1,1,512,Fox,0.0850649
1,1,1024,Striped,0.802977
1,1,1024,Fox,0.668083
1,1,2048,Striped,8.88794
1,1,2048,Fox,7.8913
1,2,512,Striped,0.0541368
1,2,1024,Striped,0.670717
1,2,2048,Striped,4.56917
1,4,512,Striped,0.042728
1,4,512,Fox,0.0263595
1,4,1024,Striped,0.470173
1,4,1024,Fox,0.184616
1,4,2048,Striped,3.76444
1,4,2048,Fox,2.77825
1,8,512,Striped,0.0359282
1,8,1024,Striped,0.370009
1,8,2048,Striped,2.89346
1,16,512,Striped,0.0511288
1,16,512,Fox,0.0125823
1,16,1024,Striped,0.376811
1,16,1024,Fox,0.103785
1,16,2048,Striped,2.86177
1,16,2048,Fox,2.35335
2,4,512,Striped,0.082366
2,4,512,Fox,0.0501368
2,4,1024,Striped,0.475747
2,4,1024,Fox,0.26614
2,4,2048,Striped,2.8161
2,4,2048,Fox,1.50819
2,8,512,Striped,0.12397
2,8,1024,Striped,0.320144
2,8,2048,Striped,2.53388
2,16,512,Striped,0.131205
2,16,512,Fox,0.0349108
2,16,1024,Striped,0.31696
2,16,1024,Fox,0.134228
2,16,2048,Striped,1.93584
2,16,2048,Fox,0.729465
2,32,512,Striped,0.154003
2,32,1024,Striped,0.401157
2,32,2048,Striped,1.90203
4,16,512,Striped,0.126846
4,16,512,Fox,0.0380007
4,16,1024,Striped,0.309937
4,16,1024,Fox,0.132013
4,16,2048,Striped,1.48572
4,16,2048,Fox,0.620828
4,32,512,Striped,0.243025
4,32,1024,Striped,0.228261
4,32,2048,Striped,1.38
4,64,512,Striped,0.353131
4,64,512,Fox,0.0310501
4,64,1024,Striped,0.221843
4,64,1024,Fox,0.087066
4,64,2048,Striped,1.49472
4,64,2048,Fox,0.45715
8,64,512,Striped,0.494728
8,64,512,Fox,0.0327345
8,64,1024,Striped,0.18597
8,64,1024,Fox,0.0909461
8,64,2048,Striped,1.16057
8,64,2048,Fox,0.430114
8,128,512,Striped,0.783099
8,128,1024,Striped,0.186006
8,128,2048,Striped,0.964054
