Scenario,Nodes,Processes,TotalWork,MsgBytes,Time_s
ComputeHeavy,1,1,1000000000,1,49.2485
LatencyBound,1,1,10000000,100,0.561669
BandwidthBound,1,1,10000000,1048576,0.559581
MaxBandwidthBound,1,1,1000000,10485760,0.216118
ComputeHeavy,1,2,1000000000,1,25.8229
LatencyBound,1,2,10000000,100,0.278521
BandwidthBound,1,2,10000000,1048576,0.286665
MaxBandwidthBound,1,2,1000000,10485760,0.233171
ComputeHeavy,1,4,1000000000,1,12.6101
LatencyBound,1,4,10000000,100,0.154471
BandwidthBound,1,4,10000000,1048576,0.170389
MaxBandwidthBound,1,4,1000000,10485760,0.43291
ComputeHeavy,1,8,1000000000,1,6.92294
LatencyBound,1,8,10000000,100,0.111898
BandwidthBound,1,8,10000000,1048576,0.14776
MaxBandwidthBound,1,8,1000000,10485760,0.623158
ComputeHeavy,1,16,1000000000,1,5.77761
LatencyBound,1,16,10000000,100,0.05826
BandwidthBound,1,16,10000000,1048576,0.135278
MaxBandwidthBound,1,16,1000000,10485760,1.09764
ComputeHeavy,2,4,1000000000,1,12.9191
LatencyBound,2,4,10000000,100,0.158526
BandwidthBound,2,4,10000000,1048576,0.738293
MaxBandwidthBound,2,4,1000000,10485760,4.68021
ComputeHeavy,2,8,1000000000,1,6.45056
LatencyBound,2,8,10000000,100,0.106109
BandwidthBound,2,8,10000000,1048576,0.706527
MaxBandwidthBound,2,8,1000000,10485760,4.66183
ComputeHeavy,2,16,1000000000,1,3.72515
LatencyBound,2,16,10000000,100,0.065811
BandwidthBound,2,16,10000000,1048576,0.657846
MaxBandwidthBound,2,16,1000000,10485760,4.66584
ComputeHeavy,2,32,1000000000,1,2.84372
LatencyBound,2,32,10000000,100,0.0369907
BandwidthBound,2,32,10000000,1048576,0.63251
MaxBandwidthBound,2,32,1000000,10485760,4.6615
ComputeHeavy,4,8,1000000000,1,6.68111
LatencyBound,4,8,10000000,100,0.116319
BandwidthBound,4,8,10000000,1048576,0.636538
MaxBandwidthBound,4,8,1000000,10485760,4.82051
ComputeHeavy,4,16,1000000000,1,3.56248
LatencyBound,4,16,10000000,100,0.061089
BandwidthBound,4,16,10000000,1048576,0.632441
MaxBandwidthBound,4,16,1000000,10485760,4.64638
ComputeHeavy,4,32,1000000000,1,1.96671
LatencyBound,4,32,10000000,100,0.0474363
BandwidthBound,4,32,10000000,1048576,0.62946
MaxBandwidthBound,4,32,1000000,10485760,4.62796
ComputeHeavy,4,64,1000000000,1,1.42269
LatencyBound,4,64,10000000,100,0.0377618
BandwidthBound,4,64,10000000,1048576,0.630559
MaxBandwidthBound,4,64,1000000,10485760,4.70314
ComputeHeavy,8,16,1000000000,1,3.48192
LatencyBound,8,16,10000000,100,0.0677965
BandwidthBound,8,16,10000000,1048576,0.645343
MaxBandwidthBound,8,16,1000000,10485760,4.67182
ComputeHeavy,8,32,1000000000,1,1.93321
LatencyBound,8,32,10000000,100,0.0541129
BandwidthBound,8,32,10000000,1048576,0.609823
MaxBandwidthBound,8,32,1000000,10485760,4.65051
ComputeHeavy,8,64,1000000000,1,1.02321
LatencyBound,8,64,10000000,100,0.0365269
BandwidthBound,8,64,10000000,1048576,0.645
MaxBandwidthBound,8,64,1000000,10485760,4.68432
ComputeHeavy,8,128,1000000000,1,0.735499
LatencyBound,8,128,10000000,100,0.0425294
BandwidthBound,8,128,10000000,1048576,0.647244
MaxBandwidthBound,8,128,1000000,10485760,4.65337
