Nodes,Processes,MatrixSize,Mode,Time_s
1,1,512,Standard,0.106609
1,1,512,Synchronous,0.120875
1,1,512,Buffered,0.121343
1,1,1024,Standard,0.807024
1,1,1024,Synchronous,0.967315
1,1,1024,Buffered,0.986468
1,1,2048,Standard,8.92384
1,1,2048,Synchronous,8.92559
1,1,2048,Buffered,8.93993
1,4,512,Standard,0.054181
1,4,512,Synchronous,0.0430792
1,4,512,Buffered,0.0301563
1,4,1024,Standard,0.245146
1,4,1024,Synchronous,0.246985
1,4,1024,Buffered,0.256328
1,4,2048,Standard,2.94296
1,4,2048,Synchronous,3.02104
1,4,2048,Buffered,3.0044
2,16,512,Standard,0.0365684
2,16,512,Synchronous,0.0385896
2,16,512,Buffered,0.0369427
2,16,1024,Standard,0.147719
2,16,1024,Synchronous,0.146456
4,16,512,Standard,0.0391272
4,16,512,Synchronous,0.0347239
4,16,512,Buffered,0.0357991
4,16,1024,Standard,0.144189
4,16,1024,Synchronous,0.141946
4,16,1024,Buffered,0.141418
4,16,2048,Standard,0.687706
4,16,2048,Synchronous,0.899942
4,16,2048,Buffered,0.735816
4,64,512,Standard,0.0314572
4,64,512,Synchronous,0.0315434
4,64,512,Buffered,0.0304089
4,64,1024,Standard,0.0873677
4,64,1024,Synchronous,0.108305
4,64,1024,Buffered,0.109178
4,64,2048,Standard,0.500687
4,64,2048,Synchronous,0.495551
8,64,512,Standard,0.0331491
8,64,512,Synchronous,0.0332779
8,64,512,Buffered,0.034127
8,64,1024,Standard,0.0908764
8,64,1024,Synchronous,0.103273
8,64,1024,Buffered,0.101918
8,64,2048,Standard,0.444109
8,64,2048,Synchronous,0.445536
8,64,2048,Buffered,0.439841
