Scenario,Method,Nodes,Processes,TotalWork,MsgBytes,Time_s
ComputeHeavy,Blocking,1,1,1000000000,1,52.2037
ComputeHeavy,NonBlocking,1,1,1000000000,1,51.795
LatencyBound,Blocking,1,1,10000000,100,0.568632
LatencyBound,NonBlocking,1,1,10000000,100,0.563588
BandwidthBound,Blocking,1,1,10000000,1048576,0.576177
BandwidthBound,NonBlocking,1,1,10000000,1048576,0.572938
MaxBandwidthBound,Blocking,1,1,1000000,10485760,0.214635
MaxBandwidthBound,NonBlocking,1,1,1000000,10485760,0.213246
ComputeHeavy,Blocking,1,2,1000000000,1,25.8864
ComputeHeavy,NonBlocking,1,2,1000000000,1,25.1797
LatencyBound,Blocking,1,2,10000000,100,0.284599
LatencyBound,NonBlocking,1,2,10000000,100,0.283324
BandwidthBound,Blocking,1,2,10000000,1048576,0.296177
BandwidthBound,NonBlocking,1,2,10000000,1048576,0.291393
MaxBandwidthBound,Blocking,1,2,1000000,10485760,0.240943
MaxBandwidthBound,NonBlocking,1,2,1000000,10485760,0.224856
ComputeHeavy,Blocking,1,4,1000000000,1,12.9624
ComputeHeavy,NonBlocking,1,4,1000000000,1,12.5599
LatencyBound,Blocking,1,4,10000000,100,0.216857
LatencyBound,NonBlocking,1,4,10000000,100,0.160387
BandwidthBound,Blocking,1,4,10000000,1048576,0.236861
BandwidthBound,NonBlocking,1,4,10000000,1048576,0.225354
MaxBandwidthBound,Blocking,1,4,1000000,10485760,0.386247
MaxBandwidthBound,NonBlocking,1,4,1000000,10485760,0.397613
ComputeHeavy,Blocking,1,8,1000000000,1,7.41495
ComputeHeavy,NonBlocking,1,8,1000000000,1,7.27024
LatencyBound,Blocking,1,8,10000000,100,0.108802
LatencyBound,NonBlocking,1,8,10000000,100,0.109026
BandwidthBound,Blocking,1,8,10000000,1048576,0.148093
BandwidthBound,NonBlocking,1,8,10000000,1048576,0.123789
MaxBandwidthBound,Blocking,1,8,1000000,10485760,0.626957
MaxBandwidthBound,NonBlocking,1,8,1000000,10485760,0.689899
ComputeHeavy,Blocking,1,16,1000000000,1,5.49474
ComputeHeavy,NonBlocking,1,16,1000000000,1,5.41677
LatencyBound,Blocking,1,16,10000000,100,0.0763292
LatencyBound,NonBlocking,1,16,10000000,100,0.0571797
BandwidthBound,Blocking,1,16,10000000,1048576,0.144311
BandwidthBound,NonBlocking,1,16,10000000,1048576,0.105275
MaxBandwidthBound,Blocking,1,16,1000000,10485760,1.07224
MaxBandwidthBound,NonBlocking,1,16,1000000,10485760,1.15587
ComputeHeavy,Blocking,2,4,1000000000,1,13.0601
ComputeHeavy,NonBlocking,2,4,1000000000,1,12.5818
LatencyBound,Blocking,2,4,10000000,100,0.168439
LatencyBound,NonBlocking,2,4,10000000,100,0.15296
BandwidthBound,Blocking,2,4,10000000,1048576,0.755202
BandwidthBound,NonBlocking,2,4,10000000,1048576,0.488048
MaxBandwidthBound,Blocking,2,4,1000000,10485760,4.67002
MaxBandwidthBound,NonBlocking,2,4,1000000,10485760,4.58735
ComputeHeavy,Blocking,2,8,1000000000,1,6.69787
ComputeHeavy,NonBlocking,2,8,1000000000,1,6.31428
LatencyBound,Blocking,2,8,10000000,100,0.119547
LatencyBound,NonBlocking,2,8,10000000,100,0.107388
BandwidthBound,Blocking,2,8,10000000,1048576,0.667471
BandwidthBound,NonBlocking,2,8,10000000,1048576,0.471583
MaxBandwidthBound,Blocking,2,8,1000000,10485760,4.62903
