Method,Size,Threads,Time,Result
NoReduction,1000000,1,0.0155976,3.33212e+09
Reduction,1000000,1,0.0134906,3.33212e+09
NoReduction,1000000,2,0.0091421,3.33212e+09
Reduction,1000000,2,0.0068384,3.33212e+09
NoReduction,1000000,4,0.004952,3.33212e+09
Reduction,1000000,4,0.0039826,3.33212e+09
NoReduction,1000000,8,0.0039047,3.33212e+09
Reduction,1000000,8,0.0035067,3.33212e+09
NoReduction,1000000,12,0.0030355,3.33212e+09
Reduction,1000000,12,0.0038838,3.33212e+09
NoReduction,1000000,16,0.0041979,3.33212e+09
Reduction,1000000,16,0.0036367,3.33212e+09
NoReduction,1000000,24,0.0044477,3.33212e+09
Reduction,1000000,24,0.003455,3.33212e+09
NoReduction,1000000,32,0.0039125,3.33212e+09
Reduction,1000000,32,0.0028535,3.33212e+09
NoReduction,10000000,1,0.136466,3.33379e+10
Reduction,10000000,1,0.135105,3.33379e+10
NoReduction,10000000,2,0.069336,3.33379e+10
Reduction,10000000,2,0.0682207,3.33379e+10
NoReduction,10000000,4,0.0360719,3.33379e+10
Reduction,10000000,4,0.0348634,3.33379e+10
NoReduction,10000000,8,0.0350514,3.33379e+10
Reduction,10000000,8,0.0344827,3.33379e+10
NoReduction,10000000,12,0.0276449,3.33379e+10
Reduction,10000000,12,0.0236742,3.33379e+10
NoReduction,10000000,16,0.0260744,3.33379e+10
Reduction,10000000,16,0.0264176,3.33379e+10
NoReduction,10000000,24,0.0234191,3.33379e+10
Reduction,10000000,24,0.023601,3.33379e+10
NoReduction,10000000,32,0.0220145,3.33379e+10
Reduction,10000000,32,0.0220512,3.33379e+10
NoReduction,100000000,1,0.842321,3.33352e+11
Reduction,100000000,1,0.817432,3.33352e+11
NoReduction,100000000,2,0.419215,3.33352e+11
Reduction,100000000,2,0.429029,3.33352e+11
NoReduction,100000000,4,0.22666,3.33352e+11
Reduction,100000000,4,0.235361,3.33352e+11
NoReduction,100000000,8,0.168329,3.33352e+11
Reduction,100000000,8,0.144326,3.33352e+11
NoReduction,100000000,12,0.163786,3.33352e+11
Reduction,100000000,12,0.155524,3.33352e+11
NoReduction,100000000,16,0.168059,3.33352e+11
Reduction,100000000,16,0.166741,3.33352e+11
NoReduction,100000000,24,0.194816,3.33352e+11
Reduction,100000000,24,0.210526,3.33352e+11
NoReduction,100000000,32,0.188398,3.33352e+11
Reduction,100000000,32,0.177484,3.33352e+11
