MatrixType,Schedule,Size,Threads,Time,Result
Triangular,Static,500500,1,0.0013149,1
Triangular,Static,500500,2,0.0022443,1
Triangular,Static,500500,4,0.0049672,1
Triangular,Static,500500,8,0.0013052,1
Triangular,Static,500500,12,0.0013506,1
Triangular,Static,500500,16,0.0009302,1
Triangular,Static,500500,24,0.0015546,1
Triangular,Static,500500,32,0.0020576,1
Triangular,Dynamic,500500,1,0.0018042,1
Triangular,Dynamic,500500,2,0.0006802,1
Triangular,Dynamic,500500,4,0.0004577,1
Triangular,Dynamic,500500,8,0.0005286,1
Triangular,Dynamic,500500,12,0.0005382,1
Triangular,Dynamic,500500,16,0.0011324,1
Triangular,Dynamic,500500,24,0.001065,1
Triangular,Dynamic,500500,32,0.0017007,1
Triangular,Guided,500500,1,0.0012878,1
Triangular,Guided,500500,2,0.0007238,1
Triangular,Guided,500500,4,0.0004708,1
Triangular,Guided,500500,8,0.0003942,1
Triangular,Guided,500500,12,0.0007309,1
Triangular,Guided,500500,16,0.0006064,1
Triangular,Guided,500500,24,0.0006559,1
Triangular,Guided,500500,32,0.0028562,1
Triangular,Static,2001000,1,0.0040765,1
Triangular,Static,2001000,2,0.003344,1
Triangular,Static,2001000,4,0.0017472,1
Triangular,Static,2001000,8,0.0017614,1
Triangular,Static,2001000,12,0.001198,1
Triangular,Static,2001000,16,0.0022679,1
Triangular,Static,2001000,24,0.0017206,1
Triangular,Static,2001000,32,0.0022892,1
Triangular,Dynamic,2001000,1,0.0040104,1
Triangular,Dynamic,2001000,2,0.0023183,1
Triangular,Dynamic,2001000,4,0.0013922,1
Triangular,Dynamic,2001000,8,0.001281,1
Triangular,Dynamic,2001000,12,0.0013653,1
Triangular,Dynamic,2001000,16,0.0014192,1
Triangular,Dynamic,2001000,24,0.001306,1
Triangular,Dynamic,2001000,32,0.0014356,1
Triangular,Guided,2001000,1,0.0058909,1
Triangular,Guided,2001000,2,0.0020322,1
Triangular,Guided,2001000,4,0.0017286,1
Triangular,Guided,2001000,8,0.0015978,1
Triangular,Guided,2001000,12,0.0016583,1
Triangular,Guided,2001000,16,0.0011313,1
Triangular,Guided,2001000,24,0.0012655,1
Triangular,Guided,2001000,32,0.0011651,1
Triangular,Static,12502500,1,0.0222933,1
Triangular,Static,12502500,2,0.021829,1
Triangular,Static,12502500,4,0.0095747,1
Triangular,Static,12502500,8,0.0066737,1
Triangular,Static,12502500,12,0.005033,1
Triangular,Static,12502500,16,0.004431,1
Triangular,Static,12502500,24,0.004881,1
Triangular,Static,12502500,32,0.0041667,1
Triangular,Dynamic,12502500,1,0.0216609,1
Triangular,Dynamic,12502500,2,0.0116419,1
Triangular,Dynamic,12502500,4,0.006088,1
Triangular,Dynamic,12502500,8,0.004604,1
Triangular,Dynamic,12502500,12,0.0039635,1
Triangular,Dynamic,12502500,16,0.0038904,1
Triangular,Dynamic,12502500,24,0.00388,1
Triangular,Dynamic,12502500,32,0.0044074,1
Triangular,Guided,12502500,1,0.0214779,1
Triangular,Guided,12502500,2,0.0120916,1
Triangular,Guided,12502500,4,0.0060903,1
Triangular,Guided,12502500,8,0.0040545,1
Triangular,Guided,12502500,12,0.0040966,1
Triangular,Guided,12502500,16,0.0040615,1
Triangular,Guided,12502500,24,0.0051559,1
Triangular,Guided,12502500,32,0.0049515,1
Triangular,Static,50005000,1,0.0979532,1
Triangular,Static,50005000,2,0.0632227,1
Triangular,Static,50005000,4,0.0532008,1
Triangular,Static,50005000,8,0.0222321,1
Triangular,Static,50005000,12,0.0205508,1
Triangular,Static,50005000,16,0.0194204,1
Triangular,Static,50005000,24,0.0177441,1
Triangular,Static,50005000,32,0.0169026,1
Triangular,Dynamic,50005000,1,0.109069,1
Triangular,Dynamic,50005000,2,0.0433598,1
Triangular,Dynamic,50005000,4,0.0224642,1
Triangular,Dynamic,50005000,8,0.0136601,1
Triangular,Dynamic,50005000,12,0.0139913,1
Triangular,Dynamic,50005000,16,0.0150165,1
Triangular,Dynamic,50005000,24,0.0139393,1
Triangular,Dynamic,50005000,32,0.0138979,1
Triangular,Guided,50005000,1,0.0959412,1
Triangular,Guided,50005000,2,0.055632,1
Triangular,Guided,50005000,4,0.0220586,1
Triangular,Guided,50005000,8,0.0137137,1
Triangular,Guided,50005000,12,0.0141904,1
Triangular,Guided,50005000,16,0.0144068,1
Triangular,Guided,50005000,24,0.0159943,1
Triangular,Guided,50005000,32,0.0149202,1
Triangular,Static,200010000,1,0.31923,1
Triangular,Static,200010000,2,0.194201,1
Triangular,Static,200010000,4,0.149338,1
Triangular,Static,200010000,8,0.0811472,1
Triangular,Static,200010000,12,0.0710014,1
Triangular,Static,200010000,16,0.0652152,1
Triangular,Static,200010000,24,0.064525,1
Triangular,Static,200010000,32,0.104655,1
Triangular,Dynamic,200010000,1,0.300103,1
Triangular,Dynamic,200010000,2,0.122592,1
Triangular,Dynamic,200010000,4,0.0695736,1
Triangular,Dynamic,200010000,8,0.0603951,1
Triangular,Dynamic,200010000,12,0.0527407,1
Triangular,Dynamic,200010000,16,0.0566635,1
Triangular,Dynamic,200010000,24,0.052043,1
Triangular,Dynamic,200010000,32,0.0555349,1
Triangular,Guided,200010000,1,0.326867,1
Triangular,Guided,200010000,2,0.149802,1
Triangular,Guided,200010000,4,0.0638582,1
Triangular,Guided,200010000,8,0.0580231,1
Triangular,Guided,200010000,12,0.0517397,1
Triangular,Guided,200010000,16,0.0510347,1
Triangular,Guided,200010000,24,0.0506723,1
Triangular,Guided,200010000,32,0.0508957,1
Band,Static,360800,1,0.0010308,1
Band,Static,360800,2,0.0005947,1
Band,Static,360800,4,0.0002235,1
Band,Static,360800,8,0.0010374,1
Band,Static,360800,12,0.0003068,1
Band,Static,360800,16,0.0003221,1
Band,Static,360800,24,0.0003838,1
Band,Static,360800,32,0.0004881,1
Band,Dynamic,360800,1,0.0005926,1
Band,Dynamic,360800,2,0.0003419,1
Band,Dynamic,360800,4,0.0002781,1
Band,Dynamic,360800,8,0.0002123,1
