WorkloadType,Schedule,Size,Threads,Time,Result
RandomImbalance,Static,10000,1,0.406264,111839
RandomImbalance,Static,10000,2,0.212229,111839
RandomImbalance,Static,10000,4,0.0817224,111839
RandomImbalance,Static,10000,8,0.0951149,111839
RandomImbalance,Static,10000,12,0.0750023,111839
RandomImbalance,Static,10000,16,0.0546394,111839
RandomImbalance,Static,10000,24,0.0520397,111839
RandomImbalance,Static,10000,32,0.05352,111839
RandomImbalance,Dynamic,10000,1,0.335933,111839
RandomImbalance,Dynamic,10000,2,0.130493,111839
RandomImbalance,Dynamic,10000,4,0.0720458,111839
RandomImbalance,Dynamic,10000,8,0.0529056,111839
RandomImbalance,Dynamic,10000,12,0.0497894,111839
RandomImbalance,Dynamic,10000,16,0.0464744,111839
RandomImbalance,Dynamic,10000,24,0.0471286,111839
RandomImbalance,Dynamic,10000,32,0.0471046,111839
RandomImbalance,Guided,10000,1,0.334103,111839
RandomImbalance,Guided,10000,2,0.129065,111839
RandomImbalance,Guided,10000,4,0.0761513,111839
RandomImbalance,Guided,10000,8,0.0596938,111839
RandomImbalance,Guided,10000,12,0.077728,111839
RandomImbalance,Guided,10000,16,0.0500853,111839
RandomImbalance,Guided,10000,24,0.0465867,111839
RandomImbalance,Guided,10000,32,0.0475999,111839
RandomImbalance,Static,100000,1,2.59101,1.13194e+06
RandomImbalance,Static,100000,2,1.30133,1.13194e+06
RandomImbalance,Static,100000,4,0.726034,1.13194e+06
RandomImbalance,Static,100000,8,0.463822,1.13194e+06
RandomImbalance,Static,100000,12,0.463772,1.13194e+06
RandomImbalance,Static,100000,16,0.489357,1.13194e+06
RandomImbalance,Static,100000,24,0.475961,1.13194e+06
RandomImbalance,Static,100000,32,0.468005,1.13194e+06
RandomImbalance,Dynamic,100000,1,3.15135,1.13194e+06
RandomImbalance,Dynamic,100000,2,1.35047,1.13194e+06
RandomImbalance,Dynamic,100000,4,0.719412,1.13194e+06
RandomImbalance,Dynamic,100000,8,0.438249,1.13194e+06
RandomImbalance,Dynamic,100000,12,0.429107,1.13194e+06
RandomImbalance,Dynamic,100000,16,0.425974,1.13194e+06
RandomImbalance,Dynamic,100000,24,0.429376,1.13194e+06
RandomImbalance,Dynamic,100000,32,0.43205,1.13194e+06
RandomImbalance,Guided,100000,1,3.08891,1.13194e+06
RandomImbalance,Guided,100000,2,1.30411,1.13194e+06
RandomImbalance,Guided,100000,4,0.699913,1.13194e+06
RandomImbalance,Guided,100000,8,0.443523,1.13194e+06
RandomImbalance,Guided,100000,12,0.433173,1.13194e+06
RandomImbalance,Guided,100000,16,0.429658,1.13194e+06
RandomImbalance,Guided,100000,24,0.437597,1.13194e+06
RandomImbalance,Guided,100000,32,0.453014,1.13194e+06
RandomImbalance,Static,1000000,1,28.3739,1.12983e+07
RandomImbalance,Static,1000000,2,12.7092,1.12983e+07
RandomImbalance,Static,1000000,4,7.54083,1.12983e+07
RandomImbalance,Static,1000000,8,5.4704,1.12983e+07
RandomImbalance,Static,1000000,12,5.40112,1.12983e+07
RandomImbalance,Static,1000000,16,5.525,1.12983e+07
RandomImbalance,Static,1000000,24,5.75785,1.12983e+07
RandomImbalance,Static,1000000,32,5.8802,1.12983e+07
RandomImbalance,Dynamic,1000000,1,26.6616,1.12983e+07
RandomImbalance,Dynamic,1000000,2,14.182,1.12983e+07
RandomImbalance,Dynamic,1000000,4,7.99968,1.12983e+07
RandomImbalance,Dynamic,1000000,8,5.32514,1.12983e+07
RandomImbalance,Dynamic,1000000,12,4.57072,1.12983e+07
RandomImbalance,Dynamic,1000000,16,4.62354,1.12983e+07
RandomImbalance,Dynamic,1000000,24,4.58281,1.12983e+07
RandomImbalance,Dynamic,1000000,32,4.60946,1.12983e+07
RandomImbalance,Guided,1000000,1,28.6018,1.12983e+07
RandomImbalance,Guided,1000000,2,12.8002,1.12983e+07
RandomImbalance,Guided,1000000,4,6.94979,1.12983e+07
RandomImbalance,Guided,1000000,8,4.25316,1.12983e+07
RandomImbalance,Guided,1000000,12,4.24388,1.12983e+07
RandomImbalance,Guided,1000000,16,4.2508,1.12983e+07
RandomImbalance,Guided,1000000,24,4.3428,1.12983e+07
RandomImbalance,Guided,1000000,32,4.58893,1.12983e+07
