Strategy,Size,Threads,Time,Result
Outer,1000,1,0.0147051,-9888
Outer,1000,2,0.0060234,-9888
Outer,1000,4,0.0038222,-9888
Outer,1000,8,0.003409,-9888
Outer,1000,12,0.0025659,-9888
Outer,1000,16,0.0031567,-9888
Outer,1000,24,0.003284,-9888
Outer,1000,32,0.003818,-9888
Inner,1000,1,0.0206086,-9888
Inner,1000,2,0.0381886,-9888
Inner,1000,4,0.0455429,-9888
Inner,1000,8,0.0549916,-9888
Inner,1000,12,0.0586865,-9888
Inner,1000,16,0.0623602,-9888
Inner,1000,24,0.0946415,-9888
Inner,1000,32,0.124921,-9888
Nested,1000,1,0.0301762,-9888
Nested,1000,2,0.0173148,-9888
Nested,1000,4,0.010803,-9888
Nested,1000,8,0.0118886,-9888
Nested,1000,12,0.0126557,-9888
Nested,1000,16,0.0123622,-9888
Nested,1000,24,0.0153123,-9888
Nested,1000,32,0.0192097,-9888
Outer,10000,1,0.900158,-9978
Outer,10000,2,0.45351,-9978
Outer,10000,4,0.239861,-9978
Outer,10000,8,0.151989,-9978
Outer,10000,12,0.190365,-9978
Outer,10000,16,0.189587,-9978
Outer,10000,24,0.155248,-9978
Outer,10000,32,0.160779,-9978
Inner,10000,1,1.0177,-9978
Inner,10000,2,0.591854,-9978
Inner,10000,4,0.400591,-9978
Nested,10000,1,0.593634,-9978
Nested,10000,2,0.311303,-9978
Nested,10000,4,0.192855,-9978
Nested,10000,8,0.269605,-9978
Nested,10000,12,0.322943,-9978
Nested,10000,16,0.316106,-9978
Nested,10000,24,0.30407,-9978
Nested,10000,32,0.321482,-9978
Outer,20000,1,3.61819,-9991
Outer,20000,2,1.83729,-9991
Outer,20000,4,2.12357,-9991
Outer,20000,8,0.906664,-9991
Outer,20000,12,0.908864,-9991
Outer,20000,16,0.699272,-9991
Outer,20000,24,0.871729,-9991
Outer,20000,32,0.908081,-9991
Inner,20000,1,4.49565,-9991
Inner,20000,2,2.24171,-9991
Inner,20000,4,1.74981,-9991
Nested,20000,1,2.35314,-9991
Nested,20000,2,1.69111,-9991
Nested,20000,4,1.27259,-9991
Nested,20000,8,3.78635,-9991
Nested,20000,12,3.341,-9991
Nested,20000,16,5.46602,-9991
Nested,20000,24,5.12874,-9991
Nested,20000,32,2.26576,-9991
